name,vicinity,Coordinate
MPS Retirement Homes,"5404 Pearce Ave, Lakewood","(33.854969725637844, -118.1297411766312)"
Sakura Gardens of Los Angeles,"325 S Boyle Ave, Los Angeles","(34.045061775, -118.21985425)"
Rowntree Gardens,"12151 Dale St, Stanton","(33.7851309, -117.98445661084908)"
Belmont Village Senior Living Westwood,"10475 Wilshire Blvd, Los Angeles","(34.065101272727276, -118.43148990909091)"
Woodbridge Terrace,"1 Witherspoon, Irvine","(33.672877650000004, -117.79273462696582)"
Encino Retirement Home,"5935 Wilbur Ave, Tarzana","(34.17806034615384, -118.54483896153846)"
Westminster Terrace Senior Living,"7571 Westminster Blvd., Westminster","(33.7595426, -117.99767848731614)"
Alhambra Senior Villa,"1 E Commonwealth Ave, Alhambra","(34.092264, -118.124664)"
"Valley Village Senior Living, Inc.","5541 Vantage Ave, Valley Village","(34.17111108163265, -118.398253)"
Golden Age Village,"234 N Rural Dr, Monterey Park","(34.064874, -118.113987)"
Artesia Christian Home,"11614 183rd St, Artesia","(33.865636933333334, -118.08602833333333)"
Carson Senior Assisted Living,"345 Carson St, Carson","(33.831664448979595, -118.27122624489796)"
The Kensington Redondo Beach,"801 S Pacific Coast Hwy, Redondo Beach","(33.828706, -118.385651)"
Emerald Court,"1731 W Medical Center Dr, Anaheim","(33.852724300000006, -117.94449698263598)"
"The Canterbury Retirement Community - Senior Living, Independent Living","5801 Crestridge Rd, Rancho Palos Verdes","(33.768946400000004, -118.37732314382531)"
Gardens at Northridge,"17650 Devonshire St, Northridge","(34.2572705, -118.5302622)"
Brookdale Monrovia,"201 E Foothill Blvd, Monrovia","(34.151461, -117.998688)"
Belmont Village Senior Living Burbank,"455 E Angeleno Ave, Burbank","(34.183474149999995, -118.30480439594079)"
The Village at Sherman Oaks,"5450 Vesper Ave, Sherman Oaks","(34.16940548979591, -118.45078651020408)"
Bayshire Yorba Linda,"17803 Imperial Hwy., Yorba Linda","(33.89514929410152, -117.82271563546936)"
MorningStar Senior Living of Pasadena,"951 S Fair Oaks Ave, Pasadena","(34.129284454545456, -118.15042254545455)"
Regency Grand at West Covina,"150 S Grand Ave, West Covina","(34.06995425340698, -117.87204948738575)"
Brookdale Anaheim,"200 N Dale Ave, Anaheim","(33.833783962136735, -117.98484695108871)"
Brookdale Garden Grove,"10200 Chapman Ave, Garden Grove","(33.788583, -117.957184)"
Atria Santa Clarita,"24431 Lyons Ave, Santa Clarita","(34.37824584270069, -118.56171018418624)"
The Commons at Woodland Hills,"21711 Ventura Blvd, Woodland Hills","(34.168395360000005, -118.60101139999999)"
Elite Retirement Residence,"6900 Royer Ave, West Hills",
Park View Estates Assisted Living & Memory Care,"11360 Warner Ave, Fountain Valley","(33.716269, -117.930041)"
Brookdale Irvine,"10 Marquette, Irvine","(33.651987250000005, -117.83598511523735)"
Belmont Village Senior Living Hollywood Hills,"2051 Highland Ave, Los Angeles","(34.1049967, -118.3374883)"
Royal Oaks,"1763 Royal Oaks Dr N, Duarte","(34.1437232, -117.9696442)"
Brookdale South Bay,"5481 Torrance Blvd, Torrance","(33.837882282643854, -118.37277180351882)"
Pacifica Senior Living Santa Clarita,"24305 Lyons Ave, Santa Clarita","(34.37845513970782, -118.56026432731944)"
The Village at NorthRidge,"9222 Corbin Ave, Northridge","(34.23787236734694, -118.56221)"
Astoria Park Senior Living,"925 E Villa St, Pasadena","(34.15437152631579, -118.1312777368421)"
Hampton Guest Home,"3790 Hampton Rd, Pasadena","(34.15330455, -118.07080014767365)"
Clearwater at South Bay,"3210 Sepulveda Blvd, Torrance","(33.82467147860212, -118.34264339886124)"
