name,place_id,rating,types,vicinity,geometry_location_lat,geometry_location_lng,plus_code_compound_code,phone_number,opening_time,closing_time
Belmont Village Senior Living Westwood,ChIJc-XbHnm8woAR1qBZchdSAa0,4.9,"['point_of_interest', 'health', 'establishment']","10475 Wilshire Blvd, Los Angeles",34.0653406,-118.4317963,"3H89+47 Los Angeles, California, USA",(424) 401-0705,N/A,N/A
Woodbridge Terrace,ChIJMXhiq6Xd3IARN0HWn75NP4Q,4.7,"['point_of_interest', 'health', 'establishment']","1 Witherspoon, Irvine",33.6728439,-117.7924561,"M6F5+42 Irvine, California, USA",(949) 522-9604,N/A,N/A
Encino Retirement Home,ChIJiyGBZG2ZwoARAPAEXvDegJE,0.0,"['point_of_interest', 'health', 'establishment']","5935 Wilbur Ave, Tarzana",34.1781858,-118.5450033,"5FH3+7W Tarzana, Los Angeles, CA, USA",(818) 355-8871,N/A,N/A
Westminster Terrace Senior Living,ChIJgWohe6Ao3YARdougWyKFLis,4.4,"['point_of_interest', 'health', 'establishment']","7571 Westminster Blvd., Westminster",33.7595491,-117.9978219,"Q252+RV Westminster, California, USA",(714) 891-6608,N/A,N/A
Alhambra Senior Villa,ChIJ88eRBibFwoARy5nfWB4S7fQ,3.6,"['point_of_interest', 'health', 'establishment']","1 E Commonwealth Ave, Alhambra",34.0928063,-118.1245097,"3VVG+45 Alhambra, California, USA",(626) 289-3871,N/A,N/A
"Valley Village Senior Living, Inc.",ChIJTw6S4yWXwoARRtXneO0apiA,4.8,"['point_of_interest', 'health', 'establishment']","5541 Vantage Ave, Valley Village",34.171549,-118.3986364,"5JC2+JG Valley Village, Los Angeles, CA, USA",(747) 253-0007,N/A,N/A
Golden Age Village,ChIJYZYqQ1PFwoARm7mVrBGj8O8,4.8,"['point_of_interest', 'health', 'establishment']","234 N Rural Dr, Monterey Park",34.0647419,-118.1138677,"3V7P+WF Monterey Park, California, USA",(626) 571-7977,9:00 AM,5:00 PM
Artesia Christian Home,ChIJn_VgdQst3YARivi8FKpYf5Y,4.6,"['point_of_interest', 'health', 'establishment']","11614 183rd St, Artesia",33.865507,-118.086108,"VW87+6H Artesia, California, USA",(562) 865-5218,8:00 AM,4:30 PM
Carson Senior Assisted Living,ChIJFcf8PBQ13YARrruy5C3zcEE,3.2,"['point_of_interest', 'health', 'establishment']","345 Carson St, Carson",33.8318152,-118.2711268,"RPJH+PG Carson, California, USA",(310) 830-4010,9:00 AM,5:00 PM
The Kensington Redondo Beach,ChIJi9F4bMi1woARlY1gC2x_a1g,4.8,"['point_of_interest', 'health', 'establishment']","801 S Pacific Coast Hwy, Redondo Beach",33.8284387,-118.3863551,"RJH7+9F Redondo Beach, California, USA",(424) 349-5206,N/A,N/A
Emerald Court,ChIJgVWxvfUp3YARGbEIdyLLmq4,4.8,"['point_of_interest', 'health', 'establishment']","1731 W Medical Center Dr, Anaheim",33.8525262,-117.9445541,"V334+25 Anaheim, California, USA",(714) 677-8360,N/A,N/A
"The Canterbury Retirement Community - Senior Living, Independent Living",ChIJjx6wM5NL3YAROjiHEnJvnc0,4.3,"['point_of_interest', 'health', 'establishment']","5801 Crestridge Rd, Rancho Palos Verdes",33.7689538,-118.3779648,"QJ9C+HR Rancho Palos Verdes, California, USA",(877) 582-0153,9:00 AM,5:00 PM
Gardens at Northridge,ChIJRzzOru-awoARMK-Q3KOIL8c,4.4,"['point_of_interest', 'health', 'establishment']","17650 Devonshire St, Northridge",34.2569149,-118.5191879,"7F4J+Q8 Northridge, Los Angeles, CA, USA",(818) 464-4676,8:00 AM,8:00 PM
Brookdale Monrovia,ChIJATsxB0HZwoARGeZRO7D3mKs,4.3,"['point_of_interest', 'health', 'establishment']","201 E Foothill Blvd, Monrovia",34.1518057,-117.9985226,"5222+PH Monrovia, California, USA",(626) 301-0204,N/A,N/A
Belmont Village Senior Living Burbank,ChIJEaFTLFKVwoAR4ZC1QNbm__U,4.6,"['point_of_interest', 'health', 'establishment']","455 E Angeleno Ave, Burbank",34.1834572,-118.3047542,"5MMW+93 Burbank, California, USA",(818) 873-4080,N/A,N/A
The Village at Sherman Oaks,ChIJYaesHrCXwoAR3GcrtJ_zFUM,4.2,"['point_of_interest', 'health', 'establishment']","5450 Vesper Ave, Sherman Oaks",34.1695754,-118.4503762,"5G9X+RW Sherman Oaks, Los Angeles, CA, USA",(747) 245-7748,N/A,N/A
Bayshire Yorba Linda,ChIJvxqbpPrT3IAR1X303DMRkqA,4.6,"['point_of_interest', 'health', 'establishment']","17803 Imperial Hwy., Yorba Linda",33.8953977,-117.8215678,"V5WH+59 Yorba Linda, California, USA",(714) 844-0967,N/A,N/A
MorningStar Senior Living of Pasadena,ChIJjQMWVILEwoARLbQDWNpj99g,4.6,"['point_of_interest', 'health', 'establishment']","951 S Fair Oaks Ave, Pasadena",34.1295461,-118.1508161,"4RHX+RM Pasadena, California, USA",(626) 788-8232,N/A,N/A
Regency Grand at West Covina,ChIJ2Xrq0QUpw4ARH9cbWRR6qqk,4.6,"['point_of_interest', 'health', 'establishment']","150 S Grand Ave, West Covina",34.0699272,-117.8716172,"349H+X9 West Covina, California, USA",(626) 332-3344,N/A,N/A
Brookdale Anaheim,ChIJgR485m8p3YARtdqCs6t9qww,4.1,"['point_of_interest', 'health', 'establishment']","200 N Dale Ave, Anaheim",33.8334186,-117.9843019,"R2M8+97 Anaheim, California, USA",(714) 761-5771,N/A,N/A
Brookdale Garden Grove,ChIJjzgIg2ko3YARUVm_UHphh9c,4.2,"['point_of_interest', 'health', 'establishment']","10200 Chapman Ave, Garden Grove",33.787852,-117.954737,"Q2QW+44 Garden Grove, California, USA",(714) 636-6453,N/A,N/A
Atria Santa Clarita,ChIJPbiEKcGGwoARQWjfq7KnpRc,4.7,"['point_of_interest', 'health', 'establishment']","24431 Lyons Ave, Santa Clarita",34.3789762,-118.5619791,"9CHQ+H6 Santa Clarita, California, USA",(661) 254-9933,8:00 AM,8:00 PM
The Commons at Woodland Hills,ChIJGS-owL2ewoARNGVZ7Wxxh3k,4.4,"['point_of_interest', 'health', 'establishment']","21711 Ventura Blvd, Woodland Hills",34.1688333,-118.6012354,"599X+GG Woodland Hills, Los Angeles, CA, USA",(818) 999-2610,8:00 AM,8:00 PM
Elite Retirement Residence,ChIJN8Axa3CdwoARgQHzlZ6r988,5.0,"['point_of_interest', 'establishment']","6900 Royer Ave, West Hills",34.1945652,-118.6281841,"59VC+RP West Hills, Los Angeles, CA, USA",(818) 640-2475,N/A,N/A
Park View Estates Assisted Living & Memory Care,ChIJ2_XEpAMn3YARGmA_br22mks,4.3,"['point_of_interest', 'health', 'establishment']","11360 Warner Ave, Fountain Valley",33.7137085,-117.9313937,"P379+FC Fountain Valley, California, USA",(714) 702-1235,N/A,N/A
Brookdale Irvine,ChIJxbgUdQve3IARV6oyRdkWTXM,4.6,"['point_of_interest', 'health', 'establishment']","10 Marquette, Irvine",33.651896,-117.8350908,"M527+QX Irvine, California, USA",(949) 854-3766,N/A,N/A
Belmont Village Senior Living Hollywood Hills,ChIJSTZy-Bi_woARuM3YwQw6_GA,4.5,"['point_of_interest', 'health', 'establishment']","2051 Highland Ave, Los Angeles",34.1080687,-118.3378387,"4M56+6V Los Angeles, California, USA",(323) 471-1237,N/A,N/A
Royal Oaks,ChIJaYJWB_3YwoARCpPku9eJq9s,4.1,"['point_of_interest', 'health', 'establishment']","1763 Royal Oaks Dr N, Duarte",34.1438777,-117.9672567,"42VM+H4 Duarte, California, USA",(626) 359-9371,N/A,N/A
Brookdale South Bay,ChIJx70GVba0woARUIBE1r7XAUI,4.8,"['point_of_interest', 'health', 'establishment']","5481 Torrance Blvd, Torrance",33.8382511,-118.3724459,"RJQH+82 Torrance, California, USA",(310) 543-1174,N/A,N/A
Pacifica Senior Living Santa Clarita,ChIJ3fU4_MCGwoARNxZM_wlEHj0,4.4,"['point_of_interest', 'health', 'establishment']","24305 Lyons Ave, Santa Clarita",34.3788936,-118.5597623,"9CHR+M4 Santa Clarita, California, USA",(661) 338-5979,N/A,N/A
The Village at NorthRidge,ChIJXesqAHSbwoAR_4_QCs3PpSQ,4.4,"['point_of_interest', 'health', 'establishment']","9222 Corbin Ave, Northridge",34.2381047,-118.5614764,"6CQQ+6C Northridge, Los Angeles, CA, USA",(213) 340-0417,N/A,N/A
Astoria Park Senior Living,ChIJZU2FIkHDwoARpowo0pPw9ug,4.7,"['point_of_interest', 'health', 'establishment']","925 E Villa St, Pasadena",34.1544554,-118.1315104,"5V39+V9 Pasadena, California, USA",(626) 796-4303,N/A,N/A
Hampton Guest Home,ChIJOSHsjIHcwoARAh2dmTxD-yw,5.0,"['point_of_interest', 'health', 'establishment']","3790 Hampton Rd, Pasadena",34.1533041,-118.0707975,"5W3H+8M Pasadena, California, USA",(626) 351-1215,9:00 AM,6:00 PM
Clearwater at South Bay,ChIJE-BTH9lK3YAROL6WL4cgQY4,4.5,"['point_of_interest', 'health', 'establishment']","3210 Sepulveda Blvd, Torrance",33.8243363,-118.3431814,"RMF4+PP Torrance, California, USA",(424) 571-2603,N/A,N/A
