Shelter/Rescue Name,Street Address,Coordinate
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
DunRoamin' Stray and Rescue,PO Box 574,
"PAWS Animal Welfare Society, Inc.",8 Rye Ave,"(41.074917188770705, -73.7031946474206)"
"PAWS Animal Welfare Society, Inc.",8 Rye Ave,"(41.074917188770705, -73.7031946474206)"
"PAWS Animal Welfare Society, Inc.",8 Rye Ave,"(41.074917188770705, -73.7031946474206)"
"PAWS Animal Welfare Society, Inc.",8 Rye Ave,"(41.074917188770705, -73.7031946474206)"
"PAWS Animal Welfare Society, Inc.",8 Rye Ave,"(41.074917188770705, -73.7031946474206)"
"PAWS Animal Welfare Society, Inc.",8 Rye Ave,"(41.074917188770705, -73.7031946474206)"
"PAWS Animal Welfare Society, Inc.",8 Rye Ave,"(41.074917188770705, -73.7031946474206)"
Charlotte County SPCA,112 Prince William Street,"(44.6226544, -65.7682183)"
Charlotte County SPCA,112 Prince William Street,"(44.6226544, -65.7682183)"
Charlotte County SPCA,112 Prince William Street,"(44.6226544, -65.7682183)"
Charlotte County SPCA,112 Prince William Street,"(44.6226544, -65.7682183)"
Charlotte County SPCA,112 Prince William Street,"(44.6226544, -65.7682183)"
Charlotte County SPCA,112 Prince William Street,"(44.6226544, -65.7682183)"
Charlotte County SPCA,112 Prince William Street,"(44.6226544, -65.7682183)"
Charlotte County SPCA,112 Prince William Street,"(44.6226544, -65.7682183)"
PAWS Brave Hearts,368 South Street,
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
PAWS Brave Hearts,368 South Street,"(41.5079577, -74.0235495)"
Old Dogs New Digs,"Cherryfield, Maine","(44.6072991, -67.9258366)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
The Ark Pope Memorial Animal Shelter,60 Barber Lane,"(44.5869195, -67.9327045)"
Bangor Humane Society,693 Mt. Hope Avenue,"(44.8228638, -68.7359842)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
SPCA of Hancock County,141 Bar Harbor Road,"(44.5012123, -68.3845675)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,"25 Buttermilk Lane
","(41.2968249, -72.7880502)"
Pope Memorial Humane Society of Knox County,188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
Protectors of Animal Lives Society (PALS),188 Case Road,"(44.3343828, -69.8943583)"
